stasjonsnr,Stasjonsnavn,Måleparameter,Versjon,Målested,Stasjontype,Status (i drift/nedlagt),Målestart (dato),Data kontrollert fra (dato),Data kontrollert til (dato),Evt. nedlagt (dato),Normal årsavrenning (l/s km2),Totalt feltareal (km2),"Bratthet (1085-gradient, m/km)",Myrprosent,Effektiv sjøprosent,Jordbruksprosent,Skogprosent,Innsjøprosent,Snaufjellprosent,Urbantareal prosent,Breprosent,Elvegradient (m/km),Elvelengde (km),Elvenavnhierarki,Elvetetthet (m/km),Vassdragsomr. nr.,Vassdragsomr. navn,Reguleringsgrad areal,"Reguleringsgrad mag,",Måleparameter kode,Høyde 10 persentil (m),Høyde 90 persentil (m),Medianhøyde (m),Høyeste punkt (m),Laveste punkt (m),Høyde over havet (m),ObjektID
175.2.0,Niingen ndf.,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,Nedlagt,21378.583333333332,1958-07-12T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,52.76,52.37,0.36,6.9,0.19,17.350000000000001,12.97,62.93,0.06,5.15,52.47,14.26,elv fra Strandvatnet,1248.6199999999999,175,Ofotfjorden nord: Tangvik-Bogen-Selnes,0.51,0.44,1001,132,975,668,1294,2,5,16746
230.1.0,Nordmannset,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,22474.583333333332,1961-07-12T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,19.309999999999999,23.29,0.52,4.1100000000000003,0,11.11,14.99,71.73,0,0,25.67,11.22,Ytre Laksefjorden øst,2193.63,230,Ytre Laksefjorden øst,0,0,1001,129,323,279,370,72,72,17716
88.30.0,Nordre Oldevatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,31851.583333333332,1987-03-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,201.67,18.72,0.01,3.37,1.65,19.18,4.41,36.04,0,35.71,59.1,22.44,Oldenvassdraget,861.88,088,Strynvassdraget/indre Nordfjord,0,0,1001,216,1764,1393,1951,33,33,12602
2.451.0,Nordre Osa,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,30345.583333333332,1983-01-29T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,447.66,6.09,16.61,0.02,0.21,57.88,1.36,15.88,0,0,5.77,48.37,Osa/Rena/Glommavassdraget,1274.5,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,587,923,761,1202,456,450,1333
2.393.0,Norsfoss,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,27395.583333333332,1975-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,18933.560000000001,1.64,10.16,7.0000000000000007E-2,2.99,55.96,3.32,21.78,0.13,0,1.72,417.66,Glommavassdraget,1290.96,002,Glommavassdraget/Hvaler og Singlefjorden,0.93,0.09,1001,343,1178,841,2173,140,154,1165
311.6.0,Nybergsund,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,3170.5833333333335,1908-09-04T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,4424.8500000000004,2.36,9.5,2.4900000000000002,0.81,44.81,10.18,26.35,0.05,0,2.42,207.68,Trysilelva,1056.7,311,Vanern-gøta elv's sidenedbørfelt klaraelven,0.02,0,1001,674,1076,831,1752,347,350,18003
2.112.0,Nye Stai,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,36820.583333333336,2000-10-21T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,8949.14,2.06,7.63,7.0000000000000007E-2,2.27,43.12,3.39,36.18,0.09,0,2.38,255.5,Glommavassdraget,1403.3,002,Glommavassdraget/Hvaler og Singlefjorden,0.75,0.09,1001,728,1333,966,2173,250,240,423
74.24.0,Nyset,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,33136.583333333336,1990-09-20T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,29.02,24.45,0,2.16,0,0,9.36,90.01,0,0.63,45.51,11.78,Nysetelvi,1618.23,074,Årdalsvassdraget/Årdalsfjorden,0,0,1001,1248,1656,1418,1811,1074,1069,11211
2.434.0,Ofossen,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,28977.583333333332,1979-05-02T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1581.4,9.41,0.43,0.18,0.59,13.75,5.25,72.55,0.04,5.98,12.57,72.3,Otta/Vorma-Lågen/Glommavassdraget,1169.43,002,Glommavassdraget/Hvaler og Singlefjorden,0.61,0.17,1001,891,1708,1414,2085,388,389,1276
27.26.0,Ogna v/Hetland,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,30117.583333333332,1982-06-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,70.290000000000006,8.11,3.07,0.85,7.11,13.04,6.1,57.52,0.04,0,10.93,20.22,Ognaåni,1625.74,027,Bjerkreimvassdraget/kyst Sokndal-Ogna,0,0,1001,128,391,206,550,29,22,8607
208.2.0,Oksfjordvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,20262.583333333332,1955-06-22T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,265.83,23.93,1.03,2.16,0.35,21.86,4.75,66.28,0,0.42,22.96,35.72,Fiskelva,1242.27,208,Reisavassdraget/Reisafjorden,0,0,1001,159,1082,598,1340,7,5,17235
16.10.0,Omnesfoss,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,23012.583333333332,1963-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,807.87,21.52,7.44,0.24,1.46,61.87,6.48,17.22,0.02,0,24.63,54.2,Heddøla-hjartdøla/Skiensvassdraget,1662.43,016,Skiensvassdraget/Langesundsfjorden,0.45,0.32,1001,437,1201,909,1876,59,60,5873
11.6.0,Oppsal,Vannføring,1,Elv - kunstig profil,"Privat, ikke pålagt",I drift,29703.583333333332,1981-04-27T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,223,25.44,3.63,0.45,4.04,85.25,5.75,0.04,7.0000000000000007E-2,0,24.31,23.74,Lierelva,1913.15,011,Lierelva/Drammensfjorden øst,0.46,0.17,1001,224,600,465,700,35,35,3877
12.9.0,Oppsjø bru,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,24654.583333333332,1967-07-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1716.24,16.420000000000002,3.89,0.93,0.88,18.84,10.220000000000001,62.45,0.2,1.47,15.5,54.57,Hallingdalsvassdraget/Drammensvassdraget,1708.68,012,Drammensvassdraget/Drammensfjorden vest,1,0.65,1001,950,1673,1300,1933,421,425,3902
2.61.0,Orva,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,35034.583333333336,1995-12-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,25.41,12.53,12.83,6.42,7.0000000000000007E-2,33.78,13.2,13.74,0,0,21.44,12.45,Orva/Glommavassdraget,1533.55,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,801,927,859,1026,700,700,298
35.9.0,Osali (Botnavatnet),Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,30040.583333333332,1982-03-30T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,22.48,38.32,2.2799999999999998,6.53,0,10.44,12.89,74.39,0,0,44.22,11.24,Kvennåna/Ulla,2911.6,035,Ulla og Førreelva/Jøsenfjorden og Erfjorden,0,0,1001,726,1143,934,1345,650,644,9025
105.1.0,Osenelv v/Øren,Vannføring,2,Elv - naturlig profil,Forvaltningsstasjon,I drift,8526.5833333333339,1923-05-05T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,137.59,9.74,15.6,4.71,3.59,57.77,8.26,9.57,0,0,20.46,23.12,Osenvassdraget,1566.46,105,Gusjåvassdraget/Moldefjorden og Fannefjorden,0,0,1001,85,506,264,795,4,10,13256
15.79.0,Ossjøen,Vannføring,2,Ikke angitt,Konsesjonspålagt stasjon,I drift,30195.583333333332,1997-10-13T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1178.0999999999999,4.2300000000000004,8.49,1.46,0,1.68,13.95,75.06,0,0,3.52,83.58,Numedalslågen,2175.48,015,Numedalslågen og Siljanvassdraget/kyst Sandefjord-Mølen,1,0.05,1001,1153,1349,1251,1537,953,950,5621
2.613.0,Ossjø ndf.,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,29534.583333333332,1980-11-09T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1174.3499999999999,4.3099999999999996,16.93,3.73,0.88,66.37,4.82,7.06,0,0,4.03,74.87,Osa/Rena/Glommavassdraget,1312.26,002,Glommavassdraget/Hvaler og Singlefjorden,1,0.4,1001,491,876,654,1202,433,436,1543
151.13.0,Øvre Glugvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,24911.583333333332,1968-04-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,60.65,13.13,15.43,4.7,0.04,41.32,8.09,29.58,0,0,15.87,17.260000000000002,Gluggvasselva/Vefsna,2577.23,151,Vefsna/Vefsnfjorden sør,0,0,1001,510,712,586,811,399,400,15076
2.36.0,Øvre Heimdalsvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,34863.583333333336,1995-06-13T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,24.94,37.299999999999997,4.1100000000000003,3.24,0,3.63,4.3,87.99,0,0,27.72,7.76,Hinøgla/Vinstra/Vorma-Lågen/Glommavassdraget,2125.0500000000002,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,1118,1611,1346,1843,1088,1088,251
64.5.0,Øvre Helland,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,Ikke angitt,1986-04-04T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,312.58,24.77,1.81,1.04,0.15,15.14,8.3000000000000007,73.8,0.02,0,32.29,32.450000000000003,Steinslandsvassdraget,2246.5500000000002,064,Steinslandsvassdraget/Osterfjorden nord,0.76,0.37,1001,600,1189,993,1331,114,115,10422
191.2.0,Øvrevatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,32021.583333333332,1987-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,526.02,6.56,3.66,0.6,2.14,37.26,3.35,50.44,0.01,0.51,18.29,62.37,Salangselva,2429.5100000000002,191,Salangselva/Salangen,0,0,1001,161,1111,690,1509,4,8,16870
174.3.0,Øvstevatn (Litlevatnet),Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,8887.5833333333339,1924-04-30T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,28.43,44.59,2.42,0.93,0.47,25.14,1.7,57.72,0,2.25,61.48,7.38,Håkvikelva,2417.54,174,Indre Ofotfjorden,0,0,1001,339,1186,770,1543,275,275,16670
